Product Number,Material,Form,Choice,Grade,Finish,Surface,Quantity,Weight (t),Length (mm),Width (mm),Height (mm),Thickness (mm),Outer Diameter (mm),Wall Thickness (mm),Web Thickness (mm),Flange Thickness (mm),Certificates,Location
85848124,Carbon Steel,Coils,2nd Choice,DC04,C590,,2,8.712,,620,,1.5,,,,,,DE
39059105,Carbon Steel,Slit Coils,2nd Choice,HC300LA,Cold Drawn / Soft (+LC),,8,7.704,,113,,5,,,,,,DE
22348892,Carbon Steel,Slit Coils,3rd Choice,undefined,Cold Drawn / Soft (+LC),,1,6.999,,389,,1.66,,,,,,DE
17320819,Special Steel,Slit Coils,2nd Choice,ZE600,K,,3,8.358,,209,,1.98,,,,,,DE
95985696,Carbon Steel,Slit Coils,2nd Choice,C75,NGW,,2,1.804,,311,,2.18,,,,,,DE
86904183,Carbon Steel,Slit Coils,2nd Choice,DC01,C590,,1,6.287,,399,,4.27,,,,,,DE
12621376,Carbon Steel,Slit Coils,2nd Choice,HC600LA,Soft Annealed (+A),,1,2.791,,163,,3.5,,,,,,DE
75566939,Special Steel,Slit Coils,2nd Choice,ZE600,K,,1,5.452,,303.5,,0.78,,,,,,DE
96980242,Carbon Steel,Slit Coils,2nd Choice,C15E,Cold Drawn / Soft (+LC),,4,3.36,,100,,1.2,,,,,,DE
32538501,Carbon Steel,Slit Coils,2nd Choice,C35E,Cold Drawn / Soft (+LC),,4,4.789,,171,,2.2,,,,,,DE
61885526,Carbon Steel,Slit Coils,2nd Choice,HC700LA,Cold Drawn / Soft (+LC),,2,4.172,,231.8,,1,,,,,,DE
17540262,Carbon Steel,Slit Coils,2nd Choice,DC01,C440-K,,1,5.2,,330,,1.77,,,,,,DE
46506220,Carbon Steel,Slit Coils,2nd Choice,DC04,Cold Drawn / Soft (+LC),,1,4.558,,242,,1.15,,,,,,DE
72411490,Carbon Steel,Slit Coils,2nd Choice,DC03,Cold Drawn / Soft (+LC),,10,5.418,,190,,3.2,,,,,,DE
92152473,Carbon Steel,Slit Coils,2nd Choice,DC01,C440,,16,8.368,,105,,1,,,,,,DE
34969482,Special Steel,Coils,2nd Choice,16MnCr5,Cold Drawn / Soft (+LC),,1,3.332,,634,,0.82,,,,,,DE
48103676,Carbon Steel,Slit Coils,2nd Choice,C60S,Cold Rolled (+CR),,4,5.08,,146,,1.3,,,,,,DE
89981132,Special Steel,Slit Coils,2nd Choice,ZE1100,K,,1,1.798,,122,,1.95,,,,,,DE
87393413,Special Steel,Slit Coils,2nd Choice,51CrV4,Cold Drawn / Soft (+LC),,3,19.209,,373.9,,1.9,,,,,,DE
51720525,Special Steel,Slit Coils,2nd Choice,51CrV4,Cold Drawn / Soft (+LC),,1,5.853,,373.9,,1.9,,,,,,DE
34678956,Special Steel,Slit Coils,2nd Choice,ZE800,Soft Annealed (+A),,1,7.976,,460,,1.93,,,,,,DE
17615251,Carbon Steel,Slit Coils,2nd Choice,DC04,C590,,11,7.488,,41.8,,0.49,,,,,,DE
31879286,Special Steel,Slit Coils,2nd Choice,ZE1100,K,,1,3.868,,219,,0.8,,,,,,DE
88747266,Carbon Steel,Slit Coils,2nd Choice,DC04,NGW,,2,5.404,,300,,2.4,,,,,,DE
64052757,Carbon Steel,Slit Coils,2nd Choice,DC04,NGW,,6,8.716,,160,,4,,,,,,DE
30994421,Carbon Steel,Slit Coils,2nd Choice,C60E,Cold Drawn / Soft (+LC),,2,4.9,,277,,3.5,,,,,,DE
79522644,Carbon Steel,Slit Coils,2nd Choice,DC04,C390,,4,14.133,,399,,1.085,,,,,,DE
47633665,Special Steel,Slit Coils,2nd Choice,CK75M1GKZ,NGW,,3,1.578,,61,,2.525,,,,,,DE
21849591,Carbon Steel,Slit Coils,2nd Choice,DC04,C390,,1,7.466,,510,,1.1,,,,,,DE
10710847,Special Steel,Slit Coils,2nd Choice,16MnCr5,Cold Drawn / Soft (+LC),,2,6.276,,341,,2.2,,,,,,DE
71124157,Special Steel,Coils,2nd Choice,ZE1100,K,,1,11.505,,641,,1.905,,,,,,DE
28983849,Special Steel,Slit Coils,2nd Choice,ZE800,Cold Drawn / Soft (+LC),,1,8.378,,460,,1.93,,,,,,DE
41080508,Special Steel,Slit Coils,2nd Choice,ZE800,Soft Annealed (+A),,1,8.982,,470,,1.93,,,,,,DE
86310313,Special Steel,Slit Coils,2nd Choice,ZE1100,K,,1,3.09,,219,,0.8,,,,,,DE
13223154,Special Steel,Slit Coils,2nd Choice,16MnCr5,Cold Drawn / Soft (+LC),MA-RL,1,1.254,,183,,2.2,,,,,,DE
32490406,Special Steel,Coils,2nd Choice,75Cr1,CR-K,MA-RL,1,1.418,,721.8,,4.1,,,,,,DE
19315672,Carbon Steel,Coils,2nd Choice,C75S,Cold Drawn / Soft (+LC),MB-RL,1,1.508,,635,,0.98,,,,,,DE
37389694,Carbon Steel,Slit Coils,2nd Choice,DC04,Cold Drawn / Soft (+LC),MB-RL,1,0.732,,60,,0.4,,,,,,DE
67849518,Carbon Steel,Slit Coils,2nd Choice,DC04,Cold Drawn / Soft (+LC),MA-RL,1,0.546,,76,,2.44,,,,,,DE
95664256,Carbon Steel,Slit Coils,2nd Choice,DC04,Cold Drawn / Soft (+LC),MA-RL,1,0.556,,76,,2.44,,,,,,DE
58121001,Carbon Steel,Slit Coils,2nd Choice,DC04,Cold Drawn / Soft (+LC),MA-RL,1,1.092,,76,,2.44,,,,,,DE
53906430,Carbon Steel,Slit Coils,2nd Choice,DC04,Cold Drawn / Soft (+LC),MA-RL,1,1.078,,76,,2.44,,,,,,DE
27703311,Carbon Steel,Slit Coils,2nd Choice,DC04,Cold Drawn / Soft (+LC),MB-RL,1,2.072,,250,,3.5,,,,,,DE
54173914,Carbon Steel,Slit Coils,2nd Choice,DC04,Cold Drawn / Soft (+LC),MB-RL,1,1.038,,250,,3.5,,,,,,DE
39929034,Carbon Steel,Slit Coils,2nd Choice,DC04,Cold Drawn / Soft (+LC),MB-RL,1,1.336,,250,,4.5,,,,,,DE
41544261,Carbon Steel,Slit Coils,2nd Choice,DC04,Cold Drawn / Soft (+LC),MB-RL,1,2.282,,250,,4.5,,,,,,DE
78558552,Carbon Steel,Coils,2nd Choice,C45E,Cold Drawn / Soft (+LC),MB-RL,1,1.388,,678,,0.8,,,,,,DE
57596379,Special Steel,Coils,2nd Choice,ZE800,CR-K,MA-RL,1,1.268,,620,,1.2,,,,,,DE
85687830,Carbon Steel,Coils,2nd Choice,C67S,Cold Drawn / Soft (+LC),MB-RL,1,0.914,,626,,0.4,,,,,,DE
12860257,Carbon Steel,Slit Coils,2nd Choice,C67S,Cold Drawn / Soft (+LC),MA-RL,1,0.468,,54.5,,0.5,,,,,,DE
52251003,Carbon Steel,Slit Coils,2nd Choice,C67S,CR-K,MA-RL,1,0.622,,245,,0.7,,,,,,DE
21998730,Carbon Steel,Slit Coils,2nd Choice,C67S,CR-K,MA-RL,1,0.618,,245,,0.7,,,,,,DE
67406371,Carbon Steel,Slit Coils,2nd Choice,C75S,CR-K,MA-RL,1,1.144,,591,,0.7,,,,,,DE
28581758,Carbon Steel,Slit Coils,2nd Choice,C75S,Cold Drawn / Soft (+LC),MB-RL,1,0.852,,71,,0.98,,,,,,DE
62750108,Carbon Steel,Slit Coils,2nd Choice,C75S,Cold Drawn / Soft (+LC),MB-RL,1,0.85,,71,,0.98,,,,,,DE
80884831,Special Steel,Sheets,2nd Choice,50CrMo4,Quenched and Tempered (+QT); Brushed,MA,1,0.572,2180,386,,3,,,,,,DE
91230546,Special Steel,Sheets,2nd Choice,75Cr1,Quenched and Tempered (+QT),MA,1,0.12,1000,610,,1.8,,,,,,DE
92765524,Special Steel,Sheets,2nd Choice,75Cr1,Quenched and Tempered (+QT),MA,1,0.162,1000,460,,2.8,,,,,,DE
62162730,Special Steel,Sheets,2nd Choice,75Cr1,Quenched and Tempered (+QT),MA,1,0.332,1000,700,,3,,,,,,DE
43324781,Special Steel,Plates,2nd Choice,75Cr1,Quenched and Tempered (+QT),MA,1,0.152,1000,420,,3.25,,,,,,DE
69440490,Special Steel,Plates,2nd Choice,75Cr1,Quenched and Tempered (+QT),MA,1,0.28,1000,510,,3.4,,,,,,DE
75353787,Special Steel,Plates,2nd Choice,75Cr1,Quenched and Tempered (+QT),MA,1,0.198,1000,570,,3.4,,,,,,DE
15065435,Special Steel,Plates,2nd Choice,75Cr1,Quenched and Tempered (+QT),MA,1,0.618,1000,610,,4,,,,,,DE
21577808,Special Steel,Plates,2nd Choice,75Cr1,Quenched and Tempered (+QT),MA,1,0.246,1000,640,,4.1,,,,,,DE
54345501,Special Steel,Sheets,2nd Choice,75Cr1,Quenched and Tempered (+QT),MA,1,0.224,1000,360,,2.23,,,,,,DE
98192823,Special Steel,Plates,2nd Choice,75Cr1,Quenched and Tempered (+QT),MA,1,0.164,1000,410,,3.03,,,,,,DE
50403629,Special Steel,Plates,2nd Choice,75Cr1,Quenched and Tempered (+QT),MA,1,0.198,1000,580,,3.53,,,,,,DE
22192007,Special Steel,Plates,2nd Choice,75Cr1,Quenched and Tempered (+QT),MA,1,0.322,1000,705,,3.04,,,,,,DE
44310230,Special Steel,Sheets,2nd Choice,80CrV2,Quenched and Tempered (+QT),MA,1,0.206,1000,580,,2.4,,,,,,DE
19936725,Special Steel,Plates,2nd Choice,80CrV2,Quenched and Tempered (+QT),MA,1,0.504,1000,590,,3.4,,,,,,DE
70356375,Special Steel,Plates,2nd Choice,80CrV2,Quenched and Tempered (+QT),MA,1,0.438,1000,590,,3.5,,,,,,DE
53004665,Special Steel,Sheets,2nd Choice,80CrV2,Quenched and Tempered (+QT),MA,1,0.108,1000,375,,2.4,,,,,,DE
50469886,Special Steel,Plates,2nd Choice,80CrV2,Quenched and Tempered (+QT),MA,1,0.24,1000,575,,3.32,,,,,,DE
27054064,Carbon Steel,Sheets,2nd Choice,C75S,Quenched and Tempered (+QT),MA,1,0.194,1000,705,,2,,,,,,DE
19121409,Carbon Steel,Plates,2nd Choice,C75S,Quenched and Tempered (+QT),MA,1,0.376,1000,630,,5,,,,,,DE
42189241,Carbon Steel,Plates,2nd Choice,RiWillit,Quenched and Tempered (+QT),MA,1,0.154,1000,640,,3.4,,,,,,DE
70749079,Special Steel,Sheets,2nd Choice,75Cr1,Quenched and Tempered (+QT),MA,1,0.35,1000,705,,1.54,,,,,,DE
34114019,Special Steel,Sheets,2nd Choice,75Cr1,Quenched and Tempered (+QT),MA,1,0.112,1000,510,,2,,,,,,DE
40865037,Special Steel,Sheets,2nd Choice,75Cr1,Quenched and Tempered (+QT),MA,1,0.108,1010,365,,2.2,,,,,,DE
37301801,Special Steel,Sheets,2nd Choice,75Cr1,Quenched and Tempered (+QT),MA,1,0.104,1000,610,,2.2,,,,,,DE
44639262,Special Steel,Sheets,2nd Choice,75Cr1,Quenched and Tempered (+QT),MA,1,0.15,1000,620,,2.2,,,,,,DE
11724545,Special Steel,Sheets,2nd Choice,75Cr1,Quenched and Tempered (+QT),MA,1,0.578,1000,620,,2.6,,,,,,DE
19059129,Special Steel,Sheets,2nd Choice,75Cr1,Quenched and Tempered (+QT),MA,1,0.126,1000,410,,2.8,,,,,,DE
85434576,Carbon Steel,Coils,Prime,C75S,Quenched and Tempered (+QT),MA,1,0.808,,710,,1.05,,,,,,DE
29595500,Carbon Steel,Coils,Prime,C75S,Quenched and Tempered (+QT),MA,1,0.782,,710,,1.05,,,,,,DE
73471364,Carbon Steel,Sheets,Prime,C75S,Quenched and Tempered (+QT),MA,1,0.944,800,500,,1.5,,,,,,DE
67365119,Carbon Steel,Sheets,Prime,C75S,Quenched and Tempered (+QT),MA,1,0.944,800,500,,1.5,,,,,,DE
97778835,Carbon Steel,Sheets,Prime,C75S,Quenched and Tempered (+QT),MA,1,0.822,800,500,,1.5,,,,,,DE
35656881,Carbon Steel,Coils,Prime,C75S,Quenched and Tempered (+QT),MA,1,0.784,,710,,1.05,,,,,,DE
82231842,Carbon Steel,Coils,Prime,C75S,Quenched and Tempered (+QT),MA,1,0.868,,710,,1.05,,,,,,DE
46261798,Carbon Steel,Sheets,Prime,C75S,Quenched and Tempered (+QT),MA,1,0.958,800,500,,1.5,,,,,,DE
99802195,Carbon Steel,Sheets,Prime,C75S,Quenched and Tempered (+QT),MA,1,0.946,800,500,,1.5,,,,,,DE
57704806,Carbon Steel,Sheets,Prime,C75S,Quenched and Tempered (+QT),MA,1,0.946,800,500,,1.5,,,,,,DE
26713463,Carbon Steel,Sheets,Prime,C75S,Quenched and Tempered (+QT),MA,1,0.946,800,500,,1.5,,,,,,DE
64802388,Carbon Steel,Sheets,Prime,C75S,Quenched and Tempered (+QT),MA,1,0.946,800,500,,1.5,,,,,,DE
73914555,Carbon Steel,Sheets,Prime,C75S,Quenched and Tempered (+QT),MA,1,0.946,800,500,,1.5,,,,,,DE
61668714,Carbon Steel,Slit Coils,2nd Choice,DX51D,Hot-dip Galvanized (+Z),,1,0.102,,137.05,,0.5,,,,,,PT
30480358,Carbon Steel,Slit Coils,2nd Choice,DX51D,Hot-dip Galvanized (+Z),,1,0.12,,138.03,,1.43,,,,,,PT
37649726,Carbon Steel,Slit Coils,2nd Choice,DX53D,Hot-dip Galvanized (+Z),,1,0.141,,246.1,,1,,,,,,PT
94914822,Carbon Steel,Slit Coils,2nd Choice,P260,Hot-dip Galvanized (+Z),,1,0.525,,136.12,,1.75,,,,,,PT
85794778,Carbon Steel,Slit Coils,2nd Choice,P260,Hot-dip Galvanized (+Z),,1,0.525,,136.12,,1.75,,,,,,PT
86470495,Carbon Steel,Slit Coils,2nd Choice,WSS-M1A365-A11,Hot-dip Galvanized (+Z),,1,0.536,,255.37,,1.5,,,,,,PT
44405844,Carbon Steel,Slit Coils,2nd Choice,DP780,Hot-dip Galvanized (+Z),,1,0.547,,184,,1.25,,,,,,PT
10022546,Carbon Steel,Slit Coils,2nd Choice,HCT600X,Hot-dip Galvanized (+Z),,1,0.563,,160,,1.25,,,,,,PT
42023345,Carbon Steel,Slit Coils,2nd Choice,HCT600X,Hot-dip Galvanized (+Z),,1,0.57,,160,,1.25,,,,,,PT
83196037,Carbon Steel,Slit Coils,2nd Choice,DX51D,Hot-dip Galvanized (+Z),,1,0.573,,160.06,,1.25,,,,,,PT
77117763,Carbon Steel,Slit Coils,2nd Choice,HCT780X,Hot-dip Galvanized (+Z),,1,0.588,,192.16,,2.4,,,,,,PT
92348527,Carbon Steel,Slit Coils,2nd Choice,S320GD,Hot-dip Galvanized (+Z),,1,0.602,,234.15,,1.43,,,,,,PT
34187187,Carbon Steel,Slit Coils,2nd Choice,DX53D,Hot-dip Galvanized (+Z),,1,0.61,,123.78,,0.8,,,,,,PT
57090337,Carbon Steel,Slit Coils,2nd Choice,DX51D,Hot-dip Galvanized (+Z),,1,0.142,,137.03,,0.5,,,,,,PT
45472334,Carbon Steel,Slit Coils,2nd Choice,DX54D,Hot-dip Galvanized (+Z),,1,0.61,,305.12,,1.6,,,,,,PT
24367494,Carbon Steel,Slit Coils,2nd Choice,WSS-M1A365-A11,Hot-dip Galvanized (+Z),,1,0.611,,300.08,,1.5,,,,,,PT
37427331,Carbon Steel,Slit Coils,2nd Choice,S280GD,Hot-dip Galvanized (+Z),,1,0.636,,260,,0.63,,,,,,PT
57717239,Carbon Steel,Slit Coils,2nd Choice,DX53D,Hot-dip Galvanized (+Z),,1,0.636,,380.18,,1,,,,,,PT
60804691,Carbon Steel,Slit Coils,2nd Choice,S280GD,Hot-dip Galvanized (+Z),,1,0.658,,278,,0.63,,,,,,PT
79685087,Carbon Steel,Slit Coils,2nd Choice,P260,Hot-dip Galvanized (+Z),,1,0.68,,138.21,,1.75,,,,,,PT
17586461,Carbon Steel,Slit Coils,2nd Choice,P260,Hot-dip Galvanized (+Z),,1,0.68,,138.21,,1.75,,,,,,PT
31635272,Carbon Steel,Slit Coils,2nd Choice,ZSTE220Z,Hot-dip Galvanized (+Z),,1,0.688,,119.8,,1.2,,,,,,PT
31781999,Carbon Steel,Slit Coils,2nd Choice,S315MC,Hot-dip Galvanized (+Z),,1,0.688,,357.31,,0.7,,,,,,PT
52649279,Carbon Steel,Slit Coils,2nd Choice,S280GD,Hot-dip Galvanized (+Z),,1,0.701,,158.18,,0.63,,,,,,PT
19061711,Carbon Steel,Slit Coils,2nd Choice,DX51D,Hot-dip Galvanized (+Z),,1,0.142,,137.03,,0.5,,,,,,PT
53119907,Carbon Steel,Slit Coils,2nd Choice,HX260LAD,Hot-dip Galvanized (+Z),,1,0.702,,114.83,,2,,,,,,PT
45982038,Carbon Steel,Slit Coils,2nd Choice,S280GD,Hot-dip Galvanized (+Z),,1,0.758,,114,,0.63,,,,,,PT
66530593,Carbon Steel,Slit Coils,2nd Choice,HX260LAD,Hot-dip Galvanized (+Z),,1,0.794,,223,,0.7,,,,,,PT
18348609,Carbon Steel,Slit Coils,2nd Choice,DP450,Hot-dip Galvanized (+Z),,1,0.82,,206.02,,0.65,,,,,,PT
72575663,Carbon Steel,Slit Coils,2nd Choice,DP450,Hot-dip Galvanized (+Z),,1,0.82,,206.02,,0.65,,,,,,PT
22011107,Carbon Steel,Slit Coils,2nd Choice,DP450,Hot-dip Galvanized (+Z),,1,0.82,,206.02,,0.65,,,,,,PT
32710296,Carbon Steel,Slit Coils,2nd Choice,HC300LA,Hot-dip Galvanized (+Z),,1,0.856,,110,,1.28,,,,,,PT
93923947,Carbon Steel,Slit Coils,2nd Choice,HR60,Hot-dip Galvanized (+Z),,1,0.927,,125.95,,3.5,,,,,,PT
59012779,Carbon Steel,Slit Coils,2nd Choice,HR60,Hot-dip Galvanized (+Z),,1,0.928,,126.01,,3.5,,,,,,PT
55190752,Carbon Steel,Slit Coils,2nd Choice,DX51D,Hot-dip Galvanized (+Z),,1,0.931,,105,,0.6,,,,,,PT
84879768,Carbon Steel,Slit Coils,2nd Choice,DX51D,Hot-dip Galvanized (+Z),,1,0.142,,137.03,,0.5,,,,,,PT
73502196,Carbon Steel,Slit Coils,2nd Choice,HR60,Hot-dip Galvanized (+Z),,1,0.938,,148,,2,,,,,,PT
40892405,Carbon Steel,Slit Coils,2nd Choice,HX300LAD,Hot-dip Galvanized (+Z),,1,0.965,,169,,0.97,,,,,,PT
35666308,Carbon Steel,Slit Coils,2nd Choice,DX51D,Hot-dip Galvanized (+Z),,1,0.975,,105,,0.6,,,,,,PT
74825946,Carbon Steel,Slit Coils,2nd Choice,HX340LAD,Hot-dip Galvanized (+Z),,1,0.979,,100.19,,2.5,,,,,,PT
20097715,Carbon Steel,Slit Coils,2nd Choice,HCT600X,Hot-dip Galvanized (+Z),,1,0.981,,130.8,,1.27,,,,,,PT
86548674,Carbon Steel,Slit Coils,2nd Choice,DX53D,Hot-dip Galvanized (+Z),,1,0.998,,115,,1.8,,,,,,PT
99771179,Carbon Steel,Slit Coils,2nd Choice,HX260LAD,Hot-dip Galvanized (+Z),,1,1.005,,109.8,,1.75,,,,,,PT
15848071,Carbon Steel,Slit Coils,2nd Choice,DP450,Hot-dip Galvanized (+Z),,1,1.013,,145,,1.25,,,,,,PT
35723062,Carbon Steel,Slit Coils,2nd Choice,HR60,Hot-dip Galvanized (+Z),,1,1.02,,160.25,,2,,,,,,PT
94871007,Carbon Steel,Slit Coils,2nd Choice,HR45,Hot-dip Galvanized (+Z),,1,1.03,,150,,4,,,,,,PT
23505465,Carbon Steel,Slit Coils,2nd Choice,DX51D,Hot-dip Galvanized (+Z),,1,0.142,,137.04,,0.5,,,,,,PT
58118992,Carbon Steel,Slit Coils,2nd Choice,HCT600X,Hot-dip Galvanized (+Z),,1,1.052,,150,,1.25,,,,,,PT
86165657,Carbon Steel,Slit Coils,2nd Choice,CR570Y780T-CP,Hot-dip Galvanized (+Z),,1,1.07,,135.11,,1.2,,,,,,PT
17448549,Carbon Steel,Slit Coils,2nd Choice,DP590,Hot-dip Galvanized (+Z),,1,1.106,,165,,1.3,,,,,,PT
46534348,Carbon Steel,Slit Coils,2nd Choice,XE360B,Hot-dip Galvanized (+Z),,1,1.11,,240.57,,1.6,,,,,,PT
92670480,Carbon Steel,Slit Coils,2nd Choice,HX220LAD,Hot-dip Galvanized (+Z),,1,1.116,,109.8,,2.4,,,,,,PT
12982410,Carbon Steel,Slit Coils,2nd Choice,DX54D,Hot-dip Galvanized (+Z),,1,1.119,,140,,0.8,,,,,,PT
67752242,Carbon Steel,Slit Coils,2nd Choice,DX51D,Hot-dip Galvanized (+Z),,1,1.135,,124.9,,0.6,,,,,,PT
24909756,Carbon Steel,Slit Coils,2nd Choice,HR60,Hot-dip Galvanized (+Z),,1,1.138,,186.02,,2,,,,,,PT
72712287,Carbon Steel,Slit Coils,2nd Choice,DX51D,Hot-dip Galvanized (+Z),,1,1.162,,162.22,,0.65,,,,,,PT
59182040,Carbon Steel,Slit Coils,2nd Choice,DX52D,Hot-dip Galvanized (+Z),,1,1.17,,300,,1.25,,,,,,PT
10559486,Carbon Steel,Slit Coils,2nd Choice,DX51D,Hot-dip Galvanized (+Z),,1,0.142,,137.04,,0.5,,,,,,PT
65111010,Carbon Steel,Slit Coils,2nd Choice,DX52D,Hot-dip Galvanized (+Z),,1,1.17,,300,,1.25,,,,,,PT
69108876,Carbon Steel,Slit Coils,2nd Choice,DP600,Hot-dip Galvanized (+Z),,1,1.175,,285.23,,1.4,,,,,,PT
19576641,Carbon Steel,Slit Coils,2nd Choice,DP600,Hot-dip Galvanized (+Z),,1,1.18,,285.23,,1.4,,,,,,PT
97528148,Carbon Steel,Slit Coils,2nd Choice,DX54D,Hot-dip Galvanized (+Z),,1,1.208,,125.35,,0.8,,,,,,PT
61928946,Carbon Steel,Slit Coils,2nd Choice,HC300LA,Hot-dip Galvanized (+Z),,1,1.234,,268.92,,1.25,,,,,,PT
73929170,Carbon Steel,Slit Coils,2nd Choice,HCT600X,Hot-dip Galvanized (+Z),,1,1.327,,110.28,,2.3,,,,,,PT
62296864,Carbon Steel,Slit Coils,2nd Choice,DX53D,Hot-dip Galvanized (+Z),,1,1.35,,130,,1,,,,,,PT
84056374,Carbon Steel,Slit Coils,2nd Choice,HX420LAD,Hot-dip Galvanized (+Z),,1,1.397,,336,,3,,,,,,PT
76895478,Carbon Steel,Slit Coils,2nd Choice,DP450,Hot-dip Galvanized (+Z),,1,1.491,,150,,1.25,,,,,,PT
12311356,Carbon Steel,Slit Coils,2nd Choice,XE590B,Hot-dip Galvanized (+Z),,1,1.495,,174.74,,1.2,,,,,,PT
45530788,Carbon Steel,Slit Coils,2nd Choice,DX51D,Hot-dip Galvanized (+Z),,1,0.142,,137.06,,0.5,,,,,,PT
28593572,Carbon Steel,Slit Coils,2nd Choice,HX300LAD,Hot-dip Galvanized (+Z),,1,1.5,,179.7,,2.2,,,,,,PT
93598336,Carbon Steel,Slit Coils,2nd Choice,DD13,Hot-dip Galvanized (+Z),,1,1.568,,289.13,,2.5,,,,,,PT
44918297,Carbon Steel,Slit Coils,2nd Choice,HX500LAD,Hot-dip Galvanized (+Z),,1,1.643,,174.14,,2.5,,,,,,PT
37831657,Carbon Steel,Slit Coils,2nd Choice,DP450,Hot-dip Galvanized (+Z),,1,1.73,,381,,0.65,,,,,,PT
11509730,Carbon Steel,Slit Coils,2nd Choice,DP450,Hot-dip Galvanized (+Z),,1,1.739,,381,,0.65,,,,,,PT
73503644,Carbon Steel,Slit Coils,2nd Choice,DP450,Hot-dip Galvanized (+Z),,1,1.745,,220,,1.3,,,,,,PT
34293466,Carbon Steel,Slit Coils,2nd Choice,DP450,Hot-dip Galvanized (+Z),,1,1.749,,381,,0.65,,,,,,PT
98412721,Carbon Steel,Slit Coils,2nd Choice,DP450,Hot-dip Galvanized (+Z),,1,1.777,,381,,0.65,,,,,,PT
44360316,Carbon Steel,Slit Coils,2nd Choice,HR60,Hot-dip Galvanized (+Z),,1,1.832,,215.94,,4,,,,,,PT
50302067,Carbon Steel,Slit Coils,2nd Choice,HR60,Hot-dip Galvanized (+Z),,1,1.845,,215.94,,4,,,,,,PT
33542237,Carbon Steel,Slit Coils,2nd Choice,DX51D,Hot-dip Galvanized (+Z),,1,0.142,,137.06,,0.5,,,,,,PT
14388844,Carbon Steel,Slit Coils,2nd Choice,HR660Y760T-CP,Hot-dip Galvanized (+Z),,1,1.86,,278.17,,2.7,,,,,,PT
77374912,Carbon Steel,Slit Coils,2nd Choice,DX51D,Hot-dip Galvanized (+Z),,1,0.142,,137.07,,0.5,,,,,,PT
59620681,Carbon Steel,Slit Coils,2nd Choice,DX51D,Hot-dip Galvanized (+Z),,1,0.142,,137.07,,0.5,,,,,,PT
21602781,Carbon Steel,Slit Coils,2nd Choice,DX51D,Hot-dip Galvanized (+Z),,1,0.123,,144.03,,0.53,,,,,,PT
